trial_id,environment_id,profile_seconds,run_number,attempt_number,mime_type,valid,invalid_reason,recording_started_ms,stop_requested_ms,recorder_stop_called_ms,last_dataavailable_ms,stop_event_ms,blob_completed_ms,visibility_change_count,started_visibility_state,ended_visibility_state,blob_size_bytes,webm_duration_seconds,wav_duration_seconds,duration_method_difference_seconds,stop_request_delay_seconds,stop_call_delay_seconds,recorder_tail_seconds,total_overrun_seconds
env-a-p010-r01-a02,env-a,10,1,2,audio/webm;codecs=opus,true,null,0.0,10008.100000023842,10008.100000023842,10027.100000023842,10027.100000023842,10027.699999988079,0,visible,visible,161618,9.960082,10.02,0.059917999999999694,0.008100000023841147,0.0,-0.04801800002384127,-0.03991800000000012
env-a-p010-r02-a01,env-a,10,2,1,audio/webm;codecs=opus,true,null,0.0,10011.800000011921,10011.800000011921,10017.699999988079,10018.199999988079,10018.699999988079,0,visible,visible,161618,9.960296,10.02,0.05970399999999998,0.011800000011920275,0.0,-0.05150400001192068,-0.039704000000000406
env-a-p010-r03-a01,env-a,10,3,1,audio/webm;codecs=opus,true,null,0.0,10002.400000035763,10002.400000035763,10025.0,10025.0,10025.400000035763,0,visible,visible,161618,9.990123,10.02,0.029876999999999043,0.002400000035763128,0.0,-0.012277000035762597,-0.00987699999999947
env-a-p010-r04-a01,env-a,10,4,1,audio/webm;codecs=opus,true,null,0.0,10011.899999976158,10011.899999976158,10016.0,10016.0,10016.599999964237,0,visible,visible,161618,9.960059,10.02,0.059941000000000244,0.011899999976158426,0.0,-0.0518409999761591,-0.03994100000000067
env-a-p010-r05-a01,env-a,10,5,1,audio/webm;codecs=opus,true,null,0.0,10010.400000035763,10010.400000035763,10015.200000047684,10015.200000047684,10015.700000047684,0,visible,visible,161618,9.960055,10.02,0.05994499999999903,0.010400000035762247,0.0,-0.0503450000357617,-0.03994499999999945
env-a-p040-r01-a01,env-a,40,1,1,audio/webm;codecs=opus,true,null,0.0,40000.799999952316,40000.799999952316,40004.09999996424,40004.19999998808,40005.59999996424,0,visible,visible,644650,39.960351,40.02,0.059649000000000285,0.0007999999523136125,0.0,-0.04044899995231077,-0.03964899999999716
env-a-p040-r02-a01,env-a,40,2,1,audio/webm;codecs=opus,true,null,0.0,40003.89999997616,40003.89999997616,40006.5,40006.69999998808,40007.80000001192,0,visible,visible,644650,39.960058,40.02,0.0599420000000066,0.0038999999761557547,0.0,-0.04384199997615923,-0.039942000000003475
env-a-p040-r03-a01,env-a,40,3,1,audio/webm;codecs=opus,true,null,0.0,40006.39999997616,40006.39999997616,40009.39999997616,40009.39999997616,40011.39999997616,0,visible,visible,644650,39.960417,40.02,0.059583000000003494,0.006399999976160586,0.0,-0.045982999976160954,-0.03958300000000037
env-a-p040-r04-a01,env-a,40,4,1,audio/webm;codecs=opus,true,null,0.0,40005.60000002384,40005.60000002384,40009.40000003576,40009.40000003576,40010.0,0,visible,visible,644650,39.959886,40.02,0.060114000000005774,0.005600000023839868,0.0,-0.045714000023842516,-0.04011400000000265
env-a-p040-r05-a01,env-a,40,5,1,audio/webm;codecs=opus,true,null,0.0,40004.40000003576,40004.40000003576,40007.5,40007.60000002384,40009.10000002384,0,visible,visible,644650,39.960562,40.02,0.0594380000000001,0.004400000035765572,0.0,-0.04383800003576255,-0.039437999999996975
